,time,person_name,phone,email,company,role,application_status
0,2022-05-02T13:26:08.732036,Coraline Frida,2081539,Coraline.Frida@gmail.biz,Post office System Corporation,Senior Web Architect,applied
1,2022-05-06T08:32:07.732039,Coraline Frida,2081539,Coraline.Frida@gmail.biz,Post office System Corporation,Senior Web Architect,waiting for interview
2,2022-05-11T14:00:31.733676,Zendaya Nola,19903327,Zendaya.Nola@aol.biz,Post office System Corporation,Senior Web Architect,applied
3,2022-05-23T12:47:11.733668,Zendaya Nola,19903327,Zendaya.Nola@aol.biz,Post office System Corporation,Senior Web Architect,waiting for interview
4,2022-05-01T12:06:43.732185,Lynette Venetia,184729446190,Lynette.Venetia@hotmail.com,Post office System Corporation,Chief Configuration Analyst,applied
5,2022-05-10T12:00:12.732192,Lynette Venetia,184729446190,Lynette.Venetia@hotmail.com,Post office System Corporation,Chief Configuration Analyst,waiting for interview
6,2022-05-14T10:17:13.732189,Lynette Venetia,184729446190,Lynette.Venetia@hotmail.com,Post office System Corporation,Chief Configuration Analyst,offer sent
7,2022-05-25T12:22:34.732182,Lynette Venetia,184729446190,Lynette.Venetia@hotmail.com,Post office System Corporation,Chief Configuration Analyst,offer rejected
8,2022-04-27T08:10:13.735831,Zaira Carlie,7786497,Zaira.Carlie@gmail.net,Post office System Corporation,Chief Configuration Analyst,applied
9,2022-05-15T09:50:33.735849,Zaira Carlie,7786497,Zaira.Carlie@gmail.net,Post office System Corporation,Chief Configuration Analyst,waiting for interview
10,2022-05-26T08:41:25.735841,Zaira Carlie,7786497,Zaira.Carlie@gmail.net,Post office System Corporation,Chief Configuration Analyst,offer sent
11,2022-05-25T10:04:03.731309,Shea Ciel,36019757,Shea.Ciel@sbcglobal.cc,Post office System Corporation,Regional Research Engineer,applied
12,2022-05-01T12:30:49.737525,Susie Ilse,122744611660,Susie.Ilse@sbcglobal.com,Post office System Corporation,Regional Research Engineer,applied
13,2022-05-24T08:19:55.737516,Susie Ilse,122744611660,Susie.Ilse@sbcglobal.com,Post office System Corporation,Regional Research Engineer,waiting for interview
14,2022-05-04T11:44:02.731104,Elaina Lucia,162504815,Elaina.Lucia@aol.biz,Post office System Corporation,Regional Identity Designer,applied
15,2022-05-23T08:11:15.731101,Elaina Lucia,162504815,Elaina.Lucia@aol.biz,Post office System Corporation,Regional Identity Designer,disqualified
16,2022-05-19T08:49:19.732831,Dede Gertrude,5316461,Dede.Gertrude@protonmail.biz,Post office System Corporation,National Factors Consultant,applied
17,2022-05-08T13:27:45.734808,Meagan Xochitl,579890191,Meagan.Xochitl@att.cc,Post office System Corporation,National Factors Consultant,applied
18,2022-05-27T14:55:16.734801,Meagan Xochitl,579890191,Meagan.Xochitl@att.cc,Post office System Corporation,National Factors Consultant,disqualified
19,2022-05-10T13:44:34.732528,Eris Carrie,827692846,Eris.Carrie@hotmail.net,Post office System Corporation,Future Interactions Consultant,applied
20,2022-05-14T08:49:41.732525,Eris Carrie,827692846,Eris.Carrie@hotmail.net,Post office System Corporation,Future Interactions Consultant,waiting for interview
21,2022-05-20T11:37:01.732531,Eris Carrie,827692846,Eris.Carrie@hotmail.net,Post office System Corporation,Future Interactions Consultant,offer sent
22,2022-05-05T11:37:49.731253,Holly July,886619260,Holly.July@gmail.biz,Post office System Corporation,Central Program Planner,applied
23,2022-05-12T09:29:04.731249,Holly July,886619260,Holly.July@gmail.biz,Post office System Corporation,Central Program Planner,waiting for interview
24,2022-05-18T12:46:59.731246,Holly July,886619260,Holly.July@gmail.biz,Post office System Corporation,Central Program Planner,offer sent
25,2022-05-19T10:55:15.731256,Holly July,886619260,Holly.July@gmail.biz,Post office System Corporation,Central Program Planner,hired
26,2022-04-30T11:29:20.733311,Zaheera Debby,775651363,Zaheera.Debby@gmail.com,Post office System Corporation,Central Program Planner,applied
27,2022-05-19T11:02:41.733314,Zaheera Debby,775651363,Zaheera.Debby@gmail.com,Post office System Corporation,Central Program Planner,disqualified
28,2022-05-21T14:26:19.731275,Carissa Chris,916533,"Carissa.Chris@hotmail,cc",Post office System Corporation,District Optimization Representative,applied
29,2022-05-25T09:48:01.731272,Carissa Chris,916533,"Carissa.Chris@hotmail,cc",Post office System Corporation,District Optimization Representative,waiting for interview
30,2022-05-13T13:10:52.731472,Kelley Norah,160133391755,Kelley.Norah@aol.biz,Post office System Corporation,District Optimization Representative,applied
31,2022-05-13T14:10:47.731475,Kelley Norah,160133391755,Kelley.Norah@aol.biz,Post office System Corporation,District Optimization Representative,waiting for interview
32,2022-05-15T10:20:47.731468,Kelley Norah,160133391755,Kelley.Norah@aol.biz,Post office System Corporation,District Optimization Representative,offer sent
33,2022-05-14T14:29:42.735751,Montserrat Jocelyn,198774,Montserrat.Jocelyn@sbcglobal.cc,Post office System Corporation,District Optimization Representative,applied
34,2022-05-17T12:58:29.735728,Montserrat Jocelyn,198774,Montserrat.Jocelyn@sbcglobal.cc,Post office System Corporation,District Optimization Representative,waiting for interview
35,2022-05-17T13:01:57.735743,Montserrat Jocelyn,198774,Montserrat.Jocelyn@sbcglobal.cc,Post office System Corporation,District Optimization Representative,offer sent
36,2022-05-20T10:42:03.735736,Montserrat Jocelyn,198774,Montserrat.Jocelyn@sbcglobal.cc,Post office System Corporation,District Optimization Representative,offer rejected
37,2022-05-05T14:15:48.731293,Cynthia Catherine,852935,"Cynthia.Catherine@msn,io",Post office System Corporation,Principal Implementation Designer,applied
38,2022-05-17T12:42:50.731290,Cynthia Catherine,852935,"Cynthia.Catherine@msn,io",Post office System Corporation,Principal Implementation Designer,waiting for interview
39,2022-05-08T14:23:39.731600,Leonie Bristol,294898,Leonie.Bristolsbcglobal.io,Post office System Corporation,Principal Implementation Designer,applied
40,2022-05-09T10:32:53.731610,Leonie Bristol,294898,Leonie.Bristolsbcglobal.io,Post office System Corporation,Principal Implementation Designer,waiting for interview
41,2022-05-11T09:36:47.731607,Leonie Bristol,294898,Leonie.Bristolsbcglobal.io,Post office System Corporation,Principal Implementation Designer,offer sent
42,2022-05-25T14:11:01.731604,Leonie Bristol,294898,Leonie.Bristolsbcglobal.io,Post office System Corporation,Principal Implementation Designer,offer rejected
43,2022-05-10T13:32:26.731587,Liesl Lindy,77861297,Liesl.Lindy@hotmail.cc,Post office System Corporation,International Paradigm Assistant,applied
44,2022-05-11T08:38:08.731591,Liesl Lindy,77861297,Liesl.Lindy@hotmail.cc,Post office System Corporation,International Paradigm Assistant,waiting for interview
45,2022-05-11T10:28:25.731594,Liesl Lindy,77861297,Liesl.Lindy@hotmail.cc,Post office System Corporation,International Paradigm Assistant,disqualified
46,2022-05-13T08:40:50.731376,Richelle Maddie,178896227,Richelle.Maddie@protonmail.io,Post office System Corporation,Forward Marketing Manager,applied
47,2022-05-09T14:21:37.733050,Pippa Shauna,365332,Pippa.Shauna@hotmail.com,Post office System Corporation,Forward Marketing Manager,applied
48,2022-05-10T14:22:04.737938,Kiara Debora,46721124,Kiara.Debora@gmail.io,Post office System Corporation,Senior Assurance Orchestrator,applied
49,2022-05-23T08:40:11.737930,Kiara Debora,46721124,Kiara.Debora@gmail.io,Post office System Corporation,Senior Assurance Orchestrator,waiting for interview
50,2022-05-02T14:49:18.731405,Katherine Nessa,184622786105,Katherine.Nessa@gmailbiz,Post office System Corporation,Dynamic Infrastructure Assistant,applied
51,2022-05-05T11:57:48.731408,Katherine Nessa,184622786105,Katherine.Nessa@gmailbiz,Post office System Corporation,Dynamic Infrastructure Assistant,waiting for interview
52,2022-05-16T13:32:44.731401,Katherine Nessa,184622786105,Katherine.Nessa@gmailbiz,Post office System Corporation,Dynamic Infrastructure Assistant,offer sent
53,2022-05-18T11:52:01.731412,Katherine Nessa,184622786105,Katherine.Nessa@gmailbiz,Post office System Corporation,Dynamic Infrastructure Assistant,hired
54,2022-05-10T12:00:27.732061,Brynn Anais,75173622,Brynn.Anais@msn.net,Post office System Corporation,Dynamic Infrastructure Assistant,applied
55,2022-04-27T08:09:28.732406,Delores Jada,1236348,Delores.Jada@sbcglobal.io,Post office System Corporation,Internal Functionality Director,applied
56,2022-05-05T14:37:50.734912,Rowena Morgana,545830116,Rowena.Morgana@att.biz,Post office System Corporation,National Accountability Associate,applied
57,2022-05-25T11:56:05.734920,Rowena Morgana,545830116,Rowena.Morgana@att.biz,Post office System Corporation,National Accountability Associate,disqualified
58,2022-05-06T08:38:12.732815,Oonagh Paola,16569912,Oonagh.Paola@hotmail.biz,Post office System Corporation,Forward Implementation Engineer,applied
59,2022-05-11T12:33:54.732822,Oonagh Paola,16569912,Oonagh.Paola@hotmail.biz,Post office System Corporation,Forward Implementation Engineer,waiting for interview
60,2022-05-20T10:52:27.732819,Oonagh Paola,16569912,Oonagh.Paola@hotmail.biz,Post office System Corporation,Forward Implementation Engineer,offer sent
61,2022-05-25T13:20:19.732826,Oonagh Paola,16569912,Oonagh.Paola@hotmail.biz,Post office System Corporation,Forward Implementation Engineer,hired
62,2022-05-04T09:06:43.731489,Marie Stephanie,151299270284,Marie.Stephanie@hotmail.cc,Post office System Corporation,Human Identity Designer,applied
63,2022-05-08T13:20:57.731486,Marie Stephanie,151299270284,Marie.Stephanie@hotmail.cc,Post office System Corporation,Human Identity Designer,waiting for interview
64,2022-05-09T10:57:24.731482,Marie Stephanie,151299270284,Marie.Stephanie@hotmail.cc,Post office System Corporation,Human Identity Designer,offer sent
65,2022-05-05T10:11:01.738383,Caterina Juniper,18697813,Caterina.Juniper@hotmail.com,Post office System Corporation,Human Identity Designer,applied
66,2022-05-09T10:13:01.738391,Caterina Juniper,18697813,Caterina.Juniper@hotmail.com,Post office System Corporation,Human Identity Designer,waiting for interview
67,2022-05-24T09:19:29.738398,Caterina Juniper,18697813,Caterina.Juniper@hotmail.com,Post office System Corporation,Human Identity Designer,disqualified
68,2022-05-10T14:04:38.732848,Bettina Adriana,191884733,Bettina.Adriana@att.com,Post office System Corporation,Lead Metrics Agent,applied
69,2022-04-29T13:28:57.736688,Andie Roxy,530742381,Andie.Roxy@sbcglobalcc,Post office System Corporation,Lead Metrics Agent,applied
70,2022-05-23T09:13:08.736679,Andie Roxy,530742381,Andie.Roxy@sbcglobalcc,Post office System Corporation,Lead Metrics Agent,waiting for interview
71,2022-05-19T14:59:32.737981,Princess Tilly,8685768,Princess.Tilly@gmail.biz,Post office System Corporation,Lead Metrics Agent,applied
72,2022-05-12T13:06:15.732947,Zaheera Keara,1511726,Zaheera.Keara@gmail.io,Post office System Corporation,Global Ideation Agent,applied
73,2022-05-18T13:24:40.732951,Zaheera Keara,1511726,Zaheera.Keara@gmail.io,Post office System Corporation,Global Ideation Agent,waiting for interview
74,2022-05-25T14:44:56.732954,Zaheera Keara,1511726,Zaheera.Keara@gmail.io,Post office System Corporation,Global Ideation Agent,offer sent
75,2022-05-26T13:13:42.732943,Zaheera Keara,1511726,Zaheera.Keara@gmail.io,Post office System Corporation,Global Ideation Agent,hired
76,2022-05-09T09:04:28.737994,Lisa Chantal,891837980,"Lisa.Chantal@sbcglobal,biz",Post office System Corporation,Legacy Operations Executive,applied
77,2022-04-27T09:59:14.732370,Maude Emmanuelle,16642681,"Maude.Emmanuelle@hotmail,io",Post office System Corporation,Lead Creative Synergist,applied
78,2022-05-02T14:58:52.732373,Maude Emmanuelle,16642681,"Maude.Emmanuelle@hotmail,io",Post office System Corporation,Lead Creative Synergist,waiting for interview
79,2022-05-13T08:56:45.732376,Maude Emmanuelle,16642681,"Maude.Emmanuelle@hotmail,io",Post office System Corporation,Lead Creative Synergist,offer sent
80,2022-05-01T13:07:49.733297,Lyndsey Shyann,19626058,Lyndsey.Shyann@aol.io,Post office System Corporation,Lead Creative Synergist,applied
81,2022-05-19T08:05:08.733293,Lyndsey Shyann,19626058,Lyndsey.Shyann@aol.io,Post office System Corporation,Lead Creative Synergist,waiting for interview
82,2022-04-28T11:53:30.732780,Valery Uma,1334415,Valery.Uma@gmail.com,Post office System Corporation,District Team Administrator,applied
83,2022-05-06T14:28:49.732776,Valery Uma,1334415,Valery.Uma@gmail.com,Post office System Corporation,District Team Administrator,waiting for interview
84,2022-05-10T14:41:45.732773,Valery Uma,1334415,Valery.Uma@gmail.com,Post office System Corporation,District Team Administrator,offer sent
85,2022-05-26T14:33:15.732770,Valery Uma,1334415,Valery.Uma@gmail.com,Post office System Corporation,District Team Administrator,hired
86,2022-05-08T11:17:18.733791,Rabia Dahlia,110982933338,Rabia.Dahlia@att.biz,Post office System Corporation,District Team Administrator,applied
87,2022-05-13T10:38:52.733807,Rabia Dahlia,110982933338,Rabia.Dahlia@att.biz,Post office System Corporation,District Team Administrator,waiting for interview
88,2022-05-24T11:35:23.733800,Rabia Dahlia,110982933338,Rabia.Dahlia@att.biz,Post office System Corporation,District Team Administrator,offer sent
89,2022-04-30T10:15:31.736666,Elisa Meagan,29614226,Elisa.Meagansbcglobal.com,Post office System Corporation,District Team Administrator,applied
90,2022-05-09T09:11:36.738429,Doreen Cece,7273911,Doreen.Cece@hotmail.net,Post office System Corporation,Lead Team Consultant,applied
