,time,person_name,phone,email,company,role,application_status
0,2022-04-28T09:43:14.731010,Lauren Merida,3691215459,Lauren.Merida@hotmail.com,Post office System Corporation,Regional Resonance Specialist,applied
1,2022-05-02T12:19:04.730959,Lauren Merida,3691215459,Lauren.Merida@hotmail.com,Post office System Corporation,Regional Resonance Specialist,waiting for interview
2,2022-05-08T09:16:47.731006,Lauren Merida,3691215459,Lauren.Merida@hotmail.com,Post office System Corporation,Regional Resonance Specialist,offer sent
3,2022-05-17T10:46:47.731014,Lauren Merida,3691215459,Lauren.Merida@hotmail.com,Post office System Corporation,Regional Resonance Specialist,hired
4,2022-05-17T12:19:30.731897,Morgana Layla,9189522903,Morgana.Layla@aol.cc,Post office System Corporation,Regional Resonance Specialist,applied
5,2022-05-26T12:42:03.731891,Morgana Layla,9189522903,Morgana.Layla@aol.cc,Post office System Corporation,Regional Resonance Specialist,waiting for interview
6,2022-05-26T14:22:43.731894,Morgana Layla,9189522903,Morgana.Layla@aol.cc,Post office System Corporation,Regional Resonance Specialist,offer sent
7,2022-05-27T11:04:30.731887,Morgana Layla,9189522903,Morgana.Layla@aol.cc,Post office System Corporation,Regional Resonance Specialist,hired
8,2022-04-28T12:56:07.732347,Johanna Briley,9458485030,Johanna.Briley@msn.biz,Post office System Corporation,Regional Resonance Specialist,applied
9,2022-05-01T09:53:36.732337,Johanna Briley,9458485030,Johanna.Briley@msn.biz,Post office System Corporation,Regional Resonance Specialist,waiting for interview
10,2022-05-08T13:41:16.732341,Johanna Briley,9458485030,Johanna.Briley@msn.biz,Post office System Corporation,Regional Resonance Specialist,offer sent
11,2022-05-23T08:00:18.732344,Johanna Briley,9458485030,Johanna.Briley@msn.biz,Post office System Corporation,Regional Resonance Specialist,offer rejected
14,2022-05-13T13:25:42.737538,Catalina Fatima,1640614920,Catalina.Fatima@hotmail.com,Post office System Corporation,Regional Resonance Specialist,applied
15,2022-04-28T11:21:02.731039,Matilda Colette,9632280453,Matilda.Colette@msn.net,Post office System Corporation,Internal Markets Executive,applied
16,2022-04-28T12:14:51.731043,Matilda Colette,9632280453,Matilda.Colette@msn.net,Post office System Corporation,Internal Markets Executive,waiting for interview
17,2022-05-12T11:47:03.731035,Matilda Colette,9632280453,Matilda.Colette@msn.net,Post office System Corporation,Internal Markets Executive,disqualified
18,2022-05-19T13:58:32.732503,Jess Alondra,3946260559,Jess.Alondra@msn.io,Post office System Corporation,Internal Markets Executive,applied
